place,place_clustered
Sorøe,Sorø
Viborg,Viborg
Kiøbinghaffn,København
Kiøbinghafn,København
Odense,Odense
Rønne,Rønne
Randers,Randers
Kbh.,København
Kjøbenhavn,København
Kbh,København
Cph,København
Hjørring,Hjørring
Aalborg,Aalborg
Frederikshavn,Frederikshavn
Kiøbenh.,København
Kiøbenhavn,København
Kivbenhavn!,København
S.l.,NA
Kiøbenhaffn,København
København,København
Rudkjøbing,Rudkøbing
Lyngby,Lyngby
Aarhus,Århus
Bergen,Bergen
Svendborg,Svendborg
Kolding,Kolding
Apenrade,Aabenraa
Hobro,Hobro
Kristiansund,Kristiansund
Slesvig,Slesvig
Horsens,Horsens
Slagelse,Slagelse
Christiania,Oslo
Haderslev,Haderslev
Kallundborg,Kalundborg
Veile,Vejle
Aarhuus,Århus
Skive,Skive
Kiliæ,Kiel
Vordingborg,Vordingborg
Fredericia,Fredericia
Kph.,København
Svendborg Kbh,Svendborg Kbh
Christiania Kbh. Christiania,Christiania Kbh. Christiania
Silkeborg,Silkeborg
Kjöbenhavn,København
Helsingør,Helsingør
Stubbekjøbing,Stubbekøbing
Kjbh.,København
Stockholm,Stockholm
Lybeck,Lübeck
Thisted,Thisted
Nestved,Næstved
Skanderborg,Skanderborg
Porsgrund,Porsgrund
Hafniæ,København
Copenhagen,København
Nykjøbing p. M.,Nykøbing M.
Roskilde,Roskilde
Stege,Stege
Ringkjøbing,Ringkøbing
Middelfart,Middelfart
Nykjøbing M.,Nykøbing M.
Kjøge,Køge
Hadersl.,Haderslev
Kjøbenahavn,København
s.l.,NA
Kiøbenhafn,København
Wien,Wien
Stavanger,Stavanger
London,London
Slagelse.,Slagelse
Tønder,Tønder
Nexø Rønne,Nexø Rønne
Kbh. Aarhus,Kbh. Aarhus
Nykøbing Jylland,Nykøbing Jylland
Fridericia,Fredericia
Christiansand,Christiansand
Hamb.,Hamborg
Sorø,Sorø
Hørsholm,Hørsholm
Kbh. c,København
Tronhjem,Trondheim
Kalundborg,Kalundborg
Neenah Wis.,"Neenah, Wis."
Hamborg,Hamborg
Nykjøbing p. F.,Nykøbing F.
Kiöbenhavn,København
Næstved,Næstved
Kristiania,Oslo
Kiel,Kiel
Trondheim,Trondheim
Assens,Assens
Trondhjem,Trondheim
Schleswig,Slesvig
Nykjøbing,Nykøbing
Kbhn,København
Nykjøbmng p. M.,Nykøbing M.
Nyk. p. M.,Nykøbing M.
Slaglosiae,Slagelse
Aabenraa,Aabenraa
Nakskov,Nakskov
Tronhiem,Trondheim
Leipzig,Leipzig
Catania,Catania
Haye,Haye
Roeskilde,Roskilde
Ringsted,Ringsted
Napoli,Napoli
Ribe,Ribe
Altona,Altona
Flensborg,Flensborg
Holbæk,Holbæk
Chicago Ill.,"Chicago, Il."
Hjøring,Hjørring
Ottense,Odense
Levanger,Levanger
Chicago,"Chicago, Il."
Strassburg,Strasburg
Ebeltoft,Ebeltoft
Hauniæ,København
Nykjøb. p. F.,Nykøbing F.
S.l,NA
Kbh. Rudkjøbing,Kbh. Rudkjøbing
Kbh. Sønderborg,Kbh. Sønderborg
Sønderborg,Sønderborg
Philadelphia,"Philadelphia, Pa."
Cedar Rapids Iowa,"Cedar Rapids, Ia."
Nykøbing F.,Nykøbing F.
Holbek,Holbæk
Tarm,Tarm
Ålborg,Aalborg
Nyborg,Nyborg
Haun.,København
Mariboe,Maribo
Hirschholm,Hirschholm
Hafn.,København
Nørresundby,Nørresundby
Borris,Borris
Faaborg,Faaborg
Lund,Lund
Husum,Husum
Jyderup,Jyderup
Vejle,Vejle
Nykøbing,Nykøbing
Sevel-Hedegaard,Sevel-Hedegaard
Minneapolis,Minneapolis
Lyngbye,Lyngby
Cph.,København
Reykjavik,Reykjavik
Grenaa,Grenaa
Holstebro,Holstebro
Fagerstrand pr. Høvik,Fagerstrand pr. Høvik
Kbh. Aalborg,Kbh. Aalborg
Hobro Kbh,Hobro Kbh
Kbh-,København
Nykjøbing Mors,Nykøbing M.
