year,Subject code,forfatternavn
1780,"18,-118","Cramer, Chr."
1806,"18,-118","Cramer, Chr."
1881,"29,-22","Hertel, Th."
1887,"30:1,-67","Sand, Fr."
1884,"32,-149","Brock, P."
1857,"29,-39","Müller, L."
1875,"17,-333","Petersen, Julius."
1894,"29,-23","Starcke, C. N."
1869-71,"42,-30","Klæstrup, P."
1872,"32,-81","Kauffmann, Richard."
1841,"58,-209","Royer, Alpohonse."
1850,"58,-319","Musset, Paul de."
1871,"58,-183","Wood, Henry"
1846,"58,-352","Sue, Eugène."
1854,"58,-348","Souvestre, Émile."
1893,"58,-322","Ohnet, Georges."
1856,"58,-348","Souvestre, Émile."
1845,"58,-347","Souvestre, Émile."
1866,"58,-353","Sue, Eugène."
1854,"58,-346","Soulié, Frederik."
1898,"58,-315","Montépin, Xavier de."
1858,"58,-336","Saint-Germain, J. T. de."
1850,"58,-353","Sue, Eugène."
1889,"14,-325","Letourneau, Ch."
1825,"28,-110","Beeken, Jens Lorenz."
1813,"28,-43","Kofod, Hans Ancher."
1820,"18,-245","Luplau, Carl."
1814,"30:2,-92","Sarrazin, Jean."
1821,"28,-27","Estrup, Hect. Fr. Janson."
1820,"18,-128","Lehmann, Geo. Mart. Ludv."
1809,"30:2,-95","Hansen, S."
1803-05,"28,-6","Brun Juul, Svend."
1853,"43,-49","Molbech, Christian."
1879,"43,-124","Stein, Harald."
NA,"30:2,-120","Meldola, Carl J."
1888,"23,-76","Kaarup, Alb."
1785,"35,-164","Abildgaard, Nicolaj."
1846,"31,-163","Petersen, Louis."
1848,"37,-385","Lüttichau, A. C. A. von."
1859,"37,-452","Sponneck, W. C. E."
1859,"37,-452","Madvig, J. N."
1850,"40:2,-434","Fich, Alfred Har. Em."
1832,"37,-248","Estrup, H. F. J."
1850,"37,-321","Droysen, Johann Gustav."
1867,"55,-251","Oehlenschläger, Adam."
1875,"55,-233","Warming, C. P."
1855,"55,-235","Weilbach, Philip."
1891,"55,-238","Wessel, Johan Herman."
1879,"55,-238","Wessel, Johan Herman."
1882,"42,-63","Rørdam, H. F."
1775,"40:1,-59","Rhode, Peder."
1647,"26,-15","Bloch, Hans Rasmussen."
1854,"37,-355","Rosenberg, C. F. W. M."
1848,"37,-279","Hammerich, Fr."
1851,"37,-430","Thornam, Aug. Wilh."
1848,"37,-330","Stenfeldt, J. A."
1852,"37,-345","Sibbern, Frederik Christian."
1851,"37,-411","Holst, Wilhelm."
1849,"37,-330","Lütken, Johs. Chr."
1852,"37,-427","Vaupell, Otto."
1855,"37,-357","Salicath, P."
1899,"32,-149","Brock, P."
1846,"31,-227","Schønberg, C. L."
1887,"34:4,-11","Bjerg, H. L. H."
1892,"16,-253","Pritzel, S."
1874,"23,-78","Lemvigh-Müller, A. C."
1889,"16,-253","Allard, A."
1867,"31,-231","Dansker, Jens."
1842,"31,-207","Barfod, Frederik."
1891,"57,-186","Jørgensen, Lavrids."
1891,"31,-217","Sand, Fr."
1786,"41:2,-78","Bachrud, Carl Michelsen."
1734,"4,-127","Neumann, Casp."
1858,"26,-125","Libum, Jacob."
1898,"16,-143","Herzen, A."
1777,"2,-147","Hagerup, Eiler."
1635,"1,-168","Gyldenstjerne, Henrik."
1734,"1,-217","Rambach, Joh. Jac."
1773,"1,-199","Giellebøl, Rejer."
1781-1785,"1,-104","Boye, Birgitte Cathrine."
1890,"1,-283","Drummond, Henry."
1894,"18,-313","Colding, P. S."
1889,"20,-107","Hoskiær, V."
1884,"20,-51","Holten, C."
1876,"20,-347","Steenbuch, Chr."
1896,"20,-144","Ellinger, H. O. G."
1898,"18,-366","Ostenfeld, A."
1899,"20,-107","Appel, Jacob."
1896,"20,-156","Christiansen, C."
1895,"20,-54","Ellinger, H. O. G."
1875,"20,-51","Holten, C."
1896,"15,-107","Frederiksen, Kirstine."
1889,"34:3,-200","Christensen, S. A."
1854,"34:3,-222","Carlsen, Carl Chr."
1899,"15,-278","Bondesen, Ingvor."
1897,"58,-166","Stowe, Harriet Beecher."
1888,"34:3,-216b","Jacobsen, P."
1843,"23,-232","Storm, Rasmus."
1898,"15,-174","Schneekloth, K. A."
1881,"3,-55","Rørdam, T. S."
1848,"7,-205","Scharling, C. E."
1891,"47,-343","Schmidt-Phiseldeck, Vilhelmine."
1864,"21,-204","Reinhardt, J."
1830,"6:1,-128","Rudelbach, Andr. Gottl."
1897,"5,-16",Roos.
1890,Særtrykssamlingen,"Schmiegelow, E."
1898,"39,-192","Ryberg, Carl."
1878,"1,-490",Rufin.
1881,"34:2,-289","Rørdam, T. Skat."
1876,"53,-162","Enghoff, P."
1868,"42,-114","Schjørring, J. N. L."
1847,"57,-253","Rumohr, Theodor Vilhelm Kjerstrup."
1892,"2,-250","Dalhoff, N."
1854,"4,-215","Vig, O."
1843,"4,-213","Visby, C. H."
1885,"4,-12","Scharling, C. Henrik."
1878,"57,-261c","Scharling, Henrik."
1885,"20,-215","Rung, G."
1820,"18,-195",Schiøtt.
1896,"57,-546","Reuter, Fritz."
1857,"25,-76","Saxtorph, W."
1809,"41:2,-188","Petersen, Hans Rud."
1875,"53,-161","Bredsdorff, Chr."
