publisher,place
NA,Sorøe
NA,Viborg
Prentet  ved Niels Michelsøn,Kiøbinghaffn
s.n.,Kiøbinghafn
NA,Odense
NA,Rønne
NA,Randers
NA,Kbh.
Forlagsbureauet,Kjøbenhavn
NA,Kbh
NA,Kbh
NA,Cph
NA,Kbh
NA,Kbh.
i Commission hos E. Wagner,Kjøbenhavn
C. H. Bielefeldts Forlag,Kjøbenhavn
NA,Kbh
NA,Hjørring
NA,Kbh
NA,Kbh
NA,Aalborg
NA,Aalborg
NA,Frederikshavn
Andr. Fred. Høst,Kbh.
NA,Kbh
NA,Kbh
NA,Kbh
NA,Kbh
NA,Kbh
NA,Kbh.
NA,Kbh.
NA,Kbh.
NA,Kbh.
NA,Kbh.
NA,Kiøbenh.
NA,Kbh.
NA,Kbh.
NA,Kbh.
NA,Kbh
Thieles Bogtrykkeri,Kiøbenhavn
i Commission hos G. E. C. Gad,Kjøbenhavn
NA,Kbh.
NA,Kbh.
NA,Kbh.
trykt hos Frid. Wilh. Thiele,Kivbenhavn!
NA,Kbh
NA,Kbh.
NA,Kbh
NA,Kbh.
Gyldendal,Kjøbenhavn
NA,Kbh
NA,Odense
NA,Kbh.
NA,Kbh.
Reitzel,Kbh.
NA,Kbh
NA,Odense
NA,Kbh
NA,Kbh.
NA,Kbh.
NA,Kbh
NA,Kbh.
Hoffensberg & Traps Etabl.,Kjøbenhavn
NA,S.l.
tryckt  paa A. H. Godiches Efterleverskes Forlag og Bekostning ved F. C. Godiche,Kiøbenhavn
tryckt aff Peter Hake,Kiøbenhaffn
NA,Kbh
NA,Kbh.
NA,Kbh.
P. G. Philipsen,København
NA,Kbh
NA,Kbh
NA,Kbh.
J. D. Qvist,Kjøbenhavn
Philipsen,Kbh.
NA,Kbh.
forlagt af C. A. Reitzel,Kjøbenhavn
NA,Kbh
NA,Kbh.
NA,Kbh
NA,Rudkjøbing
NA,Lyngby
NA,Kbh.
NA,Kbh
trykt hos J. D. Qvist & Comp,Kjøbenhavn
udgivet og forlagt af J. Lund & Fr. Nielsen,København
NA,Aarhus
NA,Randers
NA,S.l.
NA,Kbh.
NA,Kbh.
NA,Kbh.
V. Thaning & Appel,Kjøbenhavn
NA,Bergen
NA,Kbh.
NA,Kbh.
NA,Kbh.
trykt hos Friderich Wilhelm Thiele,Kiøbenhavn
NA,Kbh.
Svendborg Aviss Trykkeri,Svendborg
NA,Kbh.
NA,Kbh.
NA,Kbh
NA,Kbh.
NA,Kbh
NA,Kbh
NA,Kolding
NA,Kbh.
NA,Kbh.
NA,Kbh.
NA,Kbh.
i Kommission hos C. A. Reitzel,Kjøbenhavn
NA,Kbh.
NA,Kbh
NA,Kbh.
NA,Kbh.
NA,Kbh.
NA,Odense
Trykt paa Forfatterens Bekostning hos Jacobsen,Kjøbenhavn
NA,Kbh.
